antigravity 2.8.1-1
arduino-ide-bin 2.3.10-1
bibata-cursor-git 1.0.0.r0.f4ccfe8-1
electron37 37.5.1-1
envycontrol 3.5.2-2
lib32-mpg123 1.33.7-1
litehtml0.9 0.9-4
ngrok 3.39.11-1
normcap 0.6.0-3
obs-plugin-input-overlay-bin 5.1.0-1
obs-plugin-tuna-bin 1.9.11-1
pgadmin4-desktop 9.14-1
pgadmin4-server 9.14-1
python-geventhttpclient 2.3.7-1
python-locust 2.42.6-1
python-pkg_resources 81.0.0-1
ttf-ms-fonts 2.0-12
victus-control-bin 0.2.1-1
visual-studio-code-bin 1.134.0-1
whatsapp-linux-desktop-bin 1.0.1-1
wofi-emoji 1.2-3
zoom 7.1.5-1
