accountsservice 26.27.3-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-6.1
alsa-utils 1.2.16-1.1
antigravity 2.8.1-1
apache 2.4.68-1.1
arduino-ide-bin 2.3.10-1
ark 26.08.0-1.1
atac 0.23.0-2.1
awesome-terminal-fonts 1.1.0-5
awww 0.12.1-1.1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bc 1.08.2-1.1
bibata-cursor-git 1.0.0.r0.f4ccfe8-1
bind 9.20.27-1.1
bitwarden 2026.3.1-2.1
blueman 2.4.6-2.1
bluetui 0.8.1-2.1
bluez 5.87-2.1
bluez-hid2hci 5.87-2.1
bluez-libs 5.87-2.1
bluez-obex 5.87-2.1
bluez-utils 5.87-2.1
brightnessctl 0.5.1-3
btop 1.4.7-1.1
btrfs-assistant 2.3.1-1.1
btrfs-progs 7.1-1
cachy-update 4.1.6-1
cachyos-emerald-kde-theme-git r25.d61d1dd-1
cachyos-fish-config 16-1
cachyos-gaming-applications 1.0.0-2
cachyos-gaming-meta 1:1.0.0-8
cachyos-hello 0.28.1-1
cachyos-hooks 2026.02.05-1
cachyos-hypr-noctalia 1.2.5-1
cachyos-iridescent-kde r2.16aa352-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-nord-kde-theme-git r17.d1fb6a7-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 24-1
cachyos-settings 1:1.4.0-1
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cage 0.3.1-1.1
cantarell-fonts 1:0.311-1
cava 0.10.7-1.1
chafa 1.18.2-2.1
char-white r3.ef1c007-1
chwd 1.24.1-1
cliphist 1:0.7.0-2.1
cloudflare-warp-bin 2026.6.880-1
cmatrix 2.0-4.1
containerd 2.3.4-1.1
coolercontrol 4.3.1-2
cpu-x 5.4.0-3.1
cpupower 7.2-1
cryptsetup 2.8.7-1.1
device-mapper 2.03.42-1.1
diffutils 3.12-2.1
discord 1:1.0.154-1
dmemcg-booster 0.1.3-1
